Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red,G3_Red,G4_Red,G5_Red,G2_Green,G3_Green,G4_Green,G5_Green,G2_avg,G3_avg,G4_avg,G5_avg
284,22.1530871368646,-9.11154820374065,0.0417615732107378,-0.038107211494815,-0.0151525861859815,0.0652132011175567,-1.14735767980927,1.38804796379977,-0.746380625140208,-0.445788955818599,2.11582037656367,705.4132395,907.271212,1049.3299175,857.890229,726.089043500001,1416.8391375,1662.317862,780.196527999999,1.02929682304537,1.5616534371882,1.58417389178639,0.90943037310812
284.1,21.9559829397657,-8.96046257030452,0.0333456540404777,-0.0108560975155115,-0.0197329780424441,0.0553257480344371,-1.05614648084194,1.38983157878661,-0.760919873732777,-0.454321407920478,2.11745220214017,709.413689500001,906.176412,1032.34416749999,856.956129,733.407893500003,1421.5553875,1635.77806199999,770.425327999997,1.03379963224058,1.56874797153544,1.58453317185775,0.89901513975271
284.2,21.7490918753113,-8.86894689915336,0.0335095316895451,-0.0673307807006078,-0.0195464081329539,0.0878452424061928,-0.780586796708049,1.38095828541769,-0.767877734682304,-0.466018582508947,2.11580154318266,710.8748675,906.379117,1025.106879,857.3758455,733.314813999999,1436.423409,1615.797459,765.435227000001,1.03151292547725,1.58472925562269,1.57642267588211,0.892758799193804
284.3,21.4842542475001,-8.84503729004473,0.0398327643511008,-0.0273534574163505,-0.0264280092509794,0.0680681574140552,-0.497955899469482,1.36724610802996,-0.812528318300623,-0.479617297771958,2.137642747121,706.684117499998,909.469817000001,1039.56777900001,860.808895500001,716.724213999994,1473.88730900001,1610.416359,771.086927000002,1.01411407029007,1.62049072461514,1.54946009773734,0.895759349052904
284.4,21.2204484175369,-8.8930415151915,0.0336407668088115,-0.053752774766709,-0.022675180927616,0.0759479867783957,-0.261149360020993,1.35510660602179,-0.85316589928461,-0.500264345153817,2.15941087848278,705.303192000003,916.707030500011,1050.18812,863.634454000001,711.720592500013,1509.05237300002,1600.84920499999,774.448672499999,1.0090181046288,1.64613699400381,1.52436682271556,0.896735180478119
284.5,20.9783815270711,-8.94969781104921,0.0397524356067582,-0.0277337319440717,-0.0203884279387321,0.0649644374690209,0.012533484306107,1.34111500142952,-0.905528478969504,-0.516201530917522,2.18168659353732,710.176392000002,933.173580500006,1052.26012,865.107854000001,732.507342500008,1539.10067300001,1581.96470499999,772.713422499999,1.0313059898477,1.64926878685511,1.50343425464497,0.893204380550503
284.6,20.7222690883569,-9.0709979937086,0.041330577217579,-0.0281790693415479,-0.0141862018498119,0.0645333825064132,0.154866922557551,1.33335196670797,-0.9411727048174,-0.524721730590631,2.1948926229214,713.3966565,940.796806999993,1053.0001895,870.078550000007,745.776747499998,1558.0827015,1560.14872099998,770.870292499999,1.04538721146622,1.6562350462275,1.48159604920674,0.886093624396204
284.7,20.4864997289069,-9.15617872796718,0.04331621516698,-0.0167185380968711,-0.00736552541364781,0.0555130203806905,0.312494626176663,1.33045374618338,-0.960345166417149,-0.52355908892448,2.19874169026604,712.9378065,928.736507,1050.7756395,882.83355,742.3139975,1552.4333515,1531.807821,768.7870425,1.04120198829685,1.67173608592103,1.45774207027285,0.871014578576094
284.8,20.2931800128063,-9.27256275392697,0.0371781298960668,-0.0108339248087439,-0.00987899920761095,0.0497073130974917,0.391206522115485,1.32653654797556,-0.95831101075681,-0.508843950846957,2.18278951376798,711.9334495,918.143405999999,1046.0942,885.489261499999,738.703517,1543.132682,1515.2409225,765.133193,1.03759815312461,1.68068632539177,1.44859453762948,0.864216012224899
284.9,20.1220293540128,-9.37984883836954,0.0350883834535254,0.00404823075615494,-0.00685169372782369,0.0446160147743163,0.408202113089918,1.3168711461498,-0.931825533942355,-0.488913741867501,2.14794411777733,709.714899499999,910.816005999997,1035.9442,865.665911499993,734.764216999999,1525.70488199999,1524.8806725,757.983492999997,1.03528837510728,1.67505575146339,1.47218070801987,0.875848190498083
