17.8,0.99922,1.1836,0.94235,0.87624
17.9,1.0126,1.1704,0.9212,0.87972
18,1.0241,1.153,0.90035,0.88529
18.1,1.0135,1.1431,0.89885,0.87202
18.2,0.99773,1.1349,0.90187,0.85436
18.3,0.99308,1.1142,0.89159,0.86707
18.4,0.99102,1.0906,0.87823,0.88685
18.5,0.97334,1.1064,0.88478,0.87204
18.6,0.95203,1.1313,0.89597,0.84918
18.7,0.95724,1.1258,0.88459,0.84112
18.8,0.96904,1.1127,0.8676,0.83674
18.9,0.98768,1.1393,0.86144,0.82576
19,1.008,1.1758,0.85798,0.81314
19.1,1.0444,1.2151,0.85533,0.81264
19.2,1.0848,1.2552,0.85288,0.81514
19.3,1.1045,1.2766,0.87469,0.81875
19.4,1.119,1.2934,0.90254,0.82262
19.5,1.1693,1.3136,0.92409,0.82098
19.6,1.2291,1.3348,0.94397,0.81789
19.7,1.2908,1.379,0.93023,0.82273
19.8,1.3531,1.4292,0.9076,0.82966
19.9,1.3729,1.4527,0.90161,0.81675
20,1.3814,1.469,0.90003,0.79859
20.1,1.4085,1.4853,0.89641,0.78638
20.2,1.4404,1.5017,0.89227,0.77573
20.3,1.447,1.493,0.89079,0.79074
20.4,1.4469,1.4777,0.89001,0.81252
20.5,1.4518,1.4769,0.89501,0.8135
20.6,1.458,1.4802,0.90164,0.80865
20.7,1.4718,1.4906,0.91863,0.81471
20.8,1.4878,1.5029,0.93854,0.82381
20.9,1.4686,1.5003,0.97912,0.81601
21,1.4395,1.4934,1.0255,0.80346
21.1,1.4175,1.4988,1.0387,0.81429
21.2,1.3973,1.5078,1.0426,0.83167
21.3,1.4024,1.4988,1.0922,0.82312
21.4,1.4145,1.4848,1.1547,0.8073
21.5,1.4195,1.5065,1.1863,0.80991
21.6,1.4225,1.5388,1.2086,0.81799
21.7,1.3921,1.5288,1.1838,0.81654
21.8,1.3519,1.5063,1.1449,0.81226
21.9,1.3205,1.5068,1.1229,0.82356
22,1.2917,1.5143,1.106,0.83948
22.1,1.265,1.5184,1.1272,0.84906
22.2,1.2389,1.5214,1.1598,0.85677
22.3,1.2243,1.5256,1.161,0.86352
22.4,1.2132,1.5301,1.1524,0.86998
22.5,1.2007,1.5272,1.1668,0.87013
22.6,1.1878,1.5219,1.1884,0.8683
22.7,1.1933,1.5052,1.1786,0.87084
22.8,1.2045,1.4848,1.1588,0.87476
22.9,1.2488,1.476,1.1397,0.87554
23,1.3033,1.4708,1.1209,0.87535
23.1,1.3006,1.4871,1.1076,0.87581
23.2,1.2798,1.51,1.096,0.87647
23.3,1.2932,1.5163,1.0915,0.85134
23.4,1.3179,1.517,1.0893,0.81766
23.5,1.3006,1.5328,1.0823,0.81545
23.6,1.2694,1.5535,1.0737,0.82368
23.7,1.2705,1.5731,1.0934,0.81266
23.8,1.2822,1.5924,1.1225,0.79527
23.9,1.2797,1.5888,1.1104,0.80182
24,1.2723,1.5777,1.0847,0.81632
24.1,1.2631,1.5822,1.0601,0.83946
24.2,1.2534,1.5918,1.0359,0.86546
24.3,1.2002,1.5781,1.0506,0.87915
24.4,1.1319,1.5561,1.0788,0.88853
24.5,1.1211,1.5564,1.1045,0.88524
24.6,1.1306,1.5645,1.1294,0.87751
24.7,1.127,1.5683,1.1105,0.89227
24.8,1.119,1.5706,1.0763,0.91488
24.9,1.1373,1.5684,1.0695,0.88686
25,1.1648,1.5647,1.0724,0.84113
25.1,1.1863,1.5772,1.0664,0.84512
25.2,1.2058,1.5955,1.0573,0.86648
25.3,1.2144,1.5987,1.0713,0.87059
25.4,1.219,1.5964,1.0938,0.86835
25.5,1.1993,1.5826,1.122,0.87192
25.6,1.1707,1.5647,1.1523,0.87762
25.7,1.1607,1.558,1.1568,0.89165
