Pulse,Trial,On,Off,Include,G2_neg10_0,G2_neg10_0_mv,G3_neg10_0,G3_neg10_0_mv,G4_neg10_0,G4_neg10_0_mv,G5_neg10_0,G5_neg10_0_mv,d_G2_1_4,d_G2_1_4_mv,d_G3_1_4,d_G3_1_4_mv,d_G4_1_4,d_G4_1_4_mv,d_G5_1_4,d_G5_1_4_mv,d_h_1_4,d_h_1_4_mv,d_h_7_10,d_h_7_10_mv,d_v_1_4,d_v_1_4_mv,d_v_7_10,d_v_7_10_mv,h_neg10_0,h_neg10_0_mv,v_neg10_0,v_neg10_0_mv,x_c_1,x_c_2,x_c_3,x_c_4,y_c
91,20170821.Fly1.1,150,160,Include,1.3656049000000001,1.360152794117647,1.5949645000000001,1.7605857352941174,1.5402608,1.624741176470588,1.1091001999999999,1.129121911764706,0.041142097542268656,0.04188762218505731,0.18999775021115914,0.20732269721693683,-0.13748643519764106,-0.13648936664013753,0.018074155968955872,-0.006007420771312821,-0.03766581536666691,-0.024438715366666974,0.035954062411110765,0.16927715129999954,-0.0015400207833888863,-0.00013155307783333132,0.018357445755499996,0.02362980565549999,0.9581083820333334,0.895058601029412,0.008426259744500002,0.0121698261127451,0.5580686094076566,0.5084412287941907,0.7234740672073606,0.3235857315273824,2.022604563955242
92,20170821.Fly1.1,210,220,Include,1.2537781,1.22490015625,1.629336,1.6667375,1.3221188000000001,1.35606203125,1.1669988,1.1770275,-0.019749986062126773,-0.2874868899581724,-0.16443099111130746,0.09287873505935346,-0.03728847967368792,0.2534173681417029,-0.07906189220874375,-0.058296660916303734,0.7928403277777774,0.8947803277777764,1.203101994444444,1.2229772166666668,-0.010118537762222223,0.006446141959999999,0.008593764021111113,0.012135231560000004,1.0942307833333336,1.35483375,0.012612691373333335,0.019865331356770835,-0.16726525631349948,1.2983491179094409,-0.36765597825022556,-0.6691806635085383,1.2445944200159553
93,20180131.Fly4.2,30,40,Include,0.8921726,0.8921726,0.8710116999999998,0.8710116999999998,0.7761676,0.7761676,0.6100456000000001,0.6100456000000001,-0.13714565993172168,-0.13714565993172168,0.004706748868394417,0.004706748868394417,0.05627487327908739,0.05627487327908739,-0.01829743000632517,-0.01829743000632517,-1.5063474029715223,-1.5063474029715223,-1.4835799554318396,-1.4835799554318396,0.013361269760690946,0.013361269760690946,0.0037643960813258624,0.0037643960813258624,2.2735890274159667,2.2735890274159667,0.031037087540896357,0.031037087540896357,0.08173683000146209,-0.007398808328065604,-0.713919124983912,-0.24901647563297902,0.14972058141085454
94,20180131.Fly4.2,70,80,Exclude,0.6447336082474227,0.6447336082474227,0.8183313402061856,0.8183313402061856,1.1919340206185567,1.1919340206185567,0.6138096907216495,0.6138096907216495,-0.02693403088027849,-0.02693403088027849,-0.017351170821924878,-0.017351170821924878,-0.08580901754288861,-0.08580901754288861,0.09347844586415435,0.09347844586415435,0.37062797760317423,0.37062797760317423,,,-0.007409783468253977,-0.007409783468253977,,,1.2151114093809525,1.2151114093809525,0.029703505404761913,0.029703505404761913,-0.6480700538570562,1.1924778421678406,-0.41348092576792556,0.003157781908850617,0.8426207098718559
95,20180131.Fly4.2,110,120,Exclude,0.7466736666666667,0.7466736666666667,0.8559707777777777,0.8559707777777777,0.886256111111111,0.886256111111111,0.5674952222222222,0.5674952222222222,0.09619508031397948,0.09619508031397948,0.045897465087398344,0.045897465087398344,0.126599471810569,0.126599471810569,0.16468293320922733,0.16468293320922733,-1.1363228076023397,-1.1363228076023397,-1.4335219507769434,-1.4335219507769434,0.007260851785087726,0.007260851785087726,0.016711121042230576,0.016711121042230576,2.4597210964912284,2.4597210964912284,0.011447833814912281,0.011447833814912281,-0.17424287854306553,1.3899120832559388,1.2195372894223666,1.3812704121419244,3.370420252887036
96,20180131.Fly4.2,150,160,Exclude,0.7135781443298969,0.7135781443298969,0.8228411340206188,0.8228411340206188,1.1613388659793815,1.1613388659793815,0.7559524742268041,0.7559524742268041,0.28692713505883904,0.28692713505883904,0.06495134115258211,0.06495134115258211,-0.21626499401675706,-0.21626499401675706,-0.32429054975752736,-0.32429054975752736,-0.8663911347069599,-0.8663911347069599,-0.6735031466117214,-0.6735031466117214,-0.021478732530024428,-0.021478732530024428,-0.007979931796214895,-0.007979931796214895,1.987646974389499,1.987646974389499,0.031225297951770453,0.031225297951770453,1.6158587198936103,-0.0109466533339541,-0.033647383400775645,-1.8537200379171204,3.2409880304831318
97,20180131.Fly4.2,190,200,Include,0.6731138775510204,0.6731138775510204,0.8198956122448982,0.8198956122448982,1.186843673469388,1.186843673469388,0.7038677551020407,0.7038677551020407,0.17679740840973227,0.17679740840973227,0.09055590327140922,0.09055590327140922,-0.23184660256478618,-0.23184660256478618,-0.10130798186424915,-0.10130798186424915,0.8790065181236668,0.8790065181236668,-0.4610432874318885,-0.4610432874318885,-0.0006774861545368605,-0.0006774861545368605,-0.02231336984977496,-0.02231336984977496,1.4601122437810947,1.4601122437810947,0.04011168788152099,0.04011168788152099,0.07984413072043373,1.9755344953412357,-0.9588815774441661,0.6690890837460264,1.7261056131395358
98,20180125.Fly3.4,30,40,Exclude,1.0826537,1.0826537,1.3384470000000002,1.3384470000000002,1.2234726,1.2234726,1.0478471,1.0478471,-0.0819249651727663,-0.0819249651727663,-0.17017832358447263,-0.17017832358447263,0.007903241968802703,0.007903241968802703,-0.04983879168376125,-0.04983879168376125,1.2410532022932028,1.2410532022932028,1.2707556590031601,1.2707556590031601,-0.0018695563229788256,-0.0018695563229788256,0.0204409143155493,0.0204409143155493,1.369863204633204,1.369863204633204,0.037709922805662814,0.037709922805662814,0.03482558467055274,-0.2553925299024715,-0.5607117880125791,0.8109679410782811,-1.6780928803252468
99,20180125.Fly3.4,70,80,Exclude,0.893958,0.893958,1.1308953,1.1308953,1.4334284,1.4334284,0.9790548,0.9790548,0.27181478324485064,0.27181478324485064,0.4032569298560764,0.4032569298560764,-0.23850841334895642,-0.23850841334895642,0.059921943763175334,0.059921943763175334,1.3282607729563494,1.3282607729563494,1.3149710547817466,1.3149710547817466,-0.014189821589285716,-0.014189821589285716,-0.0035197768829365247,-0.0035197768829365247,0.7850173388690475,0.7850173388690475,0.04529323677976191,0.04529323677976191,0.017145352538124645,-1.188254576634581,-0.0772856352030564,1.344558504264667,-0.49920237555776803
100,20180125.Fly3.4,110,120,Include,1.0295685999999997,1.0295685999999997,1.2594307,1.2594307,1.2951901999999997,1.2951901999999997,0.9148982999999999,0.9148982999999999,0.08094432302357886,0.08094432302357886,0.05011494479211927,0.05011494479211927,0.000530012245820941,0.000530012245820941,-0.026896942170147806,-0.026896942170147806,-0.5082593390761904,-0.5082593390761904,-0.0024365651079367723,-0.0024365651079367723,-0.025868698847555563,-0.025868698847555563,-0.008890524322158741,-0.008890524322158741,1.3855192286,1.3855192286,0.040686875377714295,0.040686875377714295,-0.33324925603212985,1.2080849355794907,-1.5740154154689425,0.49588180627812845,-1.4411551890938876
