TIME,G2R_RED,G3R_RED,G4R_RED,G5R_RED,G2L_RED,G3L_RED,G4L_RED,G5L_RED,G2R_GREEN,G3R_GREEN,G4R_GREEN,G5R_GREEN,G2L_GREEN,G3L_GREEN,G4L_GREEN,G5L_GREEN,V_LAT,V_FWD,V_ANG,HEADING,AIR,W_AIR,ODOR_BINARY,ODOR_PID
3.7,1572.6813,1563.3241,1166.4846,882.8718,1180.3948,1741.9491,1671.1423,1033.7546,4179.3433,3277.0557,3048.5132,1854.8312,2230.7097,3014.6506,3567.2336,1456.8286,-0.0434125455531092,0.018076698869596057,-0.07773560345949862,-98.54925814916102,-89.18316089591876,36.46183228068825,0.0,
3.8000000000000003,1647.8220000000001,1532.2743,1186.3417,907.2727,1173.703,1744.8727,1709.0669,1070.2832,4107.5537,3185.1426,3062.946,1935.4613,2159.5869,3080.0151,3854.8821,1479.1184,-0.01867230779963395,0.03735825969009983,-0.05657720667007249,-72.57091559998626,-81.96019687666694,110.03139928023178,0.0,
3.9000000000000004,1586.5328,1558.8009,1164.9448,900.5426,1182.6764,1742.6779999999999,1708.1761,1079.507,4037.2517,3225.0354,3082.8093,1951.1383,2125.8445,3016.7595,3962.4548,1468.5411,-0.009828170518847365,0.028788818395601167,-0.015023291670737848,-61.13556080507152,-67.17688103987238,110.90842992497187,0.0,
4.0,1552.4509,1566.9476,1140.9646,885.6832,1154.6776,1742.4762,1652.1674,1059.9176,3775.2551,3203.103,3356.0146,1970.9232,2024.4659,3190.0854,4496.2739,1531.2057,-0.004257291322641546,0.03982547704817133,-0.001266670012116166,-58.29619093322603,-59.778510891672596,45.90374152360968,0.0,
4.1000000000000005,1559.7271,1587.9299,1165.4781,913.4325,1132.618,1745.9399,1729.1217,1022.2628,3495.2109,3253.8506,3618.1045,2013.7323,1904.2927,3215.4827,4655.6211,1412.7228,-0.0061755013817879,0.023590993137969432,-0.011914702579000817,-57.430123710644494,-57.99613273515044,20.949441732903775,0.0,
4.2,1528.4387,1588.4692,1192.3962,923.4568,1144.2439,1756.7877,1702.8533,989.5069,3273.8455,3365.7444,3664.2429,1990.3066,1816.5315,3330.8257,4762.708,1481.6025,-0.0007860221260721605,0.0374957098344242,-0.0002475369268723195,-54.89491738059323,-55.58862254509184,16.486802089808407,0.0,
4.3,1525.7544,1555.6827,1179.8193,908.3162,1143.8409,1701.1776,1678.6456,998.2513,3159.0894,3301.9612,3733.7856,2020.0,1777.6772,3319.2986,4753.2031,1453.2489,-0.000591629117236314,0.02742885784013757,0.0003856603265838576,-55.66085072218344,-54.69877231718877,3.008846935572717,0.0,
4.4,1580.1306,1562.1309,1176.011,905.4438,1149.9824,1743.3507,1690.1913,993.7565,3173.8994,3471.1199,3694.4265,1954.2518,1783.8384,3383.8799,4575.8237,1436.5051,0.006081755947075748,0.018334759093587668,0.007609775108117192,-57.16881053534695,-54.98685315797729,-14.220052429092279,0.0,
4.5,1554.5674,1553.8085,1163.2853,899.4991,1170.2478,1765.1515,1662.7892,1040.7721,3413.8779,3573.6177,3524.7002,1913.5302,1887.7056,3503.823,4444.6553,1403.2953,0.009360587389254067,0.0007000971193815599,0.005986355683090739,-59.14019836449634,-57.54278280300723,-21.707032254261502,0.0,
4.6000000000000005,1562.8262,1540.1637,1180.6543,875.921,1178.844,1762.5579,1710.4517,1046.3644,3362.2678,3640.5645,3485.3022,1898.4489,1925.3347,3593.3357,4301.2358,1360.3103,-0.005971927713371649,-0.0017863768724803173,-0.006616782188772066,-58.95033271693842,-59.3282596088296,-1.9494596653920109,0.0,
4.7,1532.511,1491.0304,1156.5596,891.7871,1155.1007,1773.467,1681.8701,1027.1323,3486.9648,3609.3105,3363.7693,1880.2479,1982.2932,3523.3711,4057.1409,1411.4805,-0.000351212687870942,0.0001381891855525444,-0.00021474700837209736,-57.84823365131756,-57.93267473608563,8.764032592418395,0.0,
4.800000000000001,1574.9573,1565.9012,1163.0924,877.6736,1165.3026,1787.3376,1669.0647,1024.1558,3508.4163,3533.2429,3187.8599,1731.5302,1943.7059,3412.8740000000003,3881.6614,1392.0686,0.001762970775933,0.0004174563757951484,-0.0002607009582089417,-57.89521795036026,-57.57545309034592,1.319673811397165,0.0,
4.9,1562.1774,1562.4937,1190.8181,929.0638,1161.0527,1759.4703,1648.975,1022.2393,3392.51,3512.4641,3192.8384,1725.0701,1914.3031,3358.0254,3671.0957,1347.4426,0.004044002532866597,-0.001600441088499517,0.0023426500906491825,-58.707898661336486,-57.6687399738062,-3.51059426188017,0.0,
5.0,1564.0747,1527.8903,1145.9286,909.5297,1128.6434,1711.3926,1669.8049,1044.7222,3340.3259,3373.676,3099.4509,1691.5347,1874.8654,3159.676,3559.3201,1352.0259,-0.005547324514286683,0.00012368055024814797,-0.001882318540556067,-58.3052602382231,-58.27757194272195,0.556470642250559,0.0,
5.1000000000000005,1587.0387,1568.2853,1175.9,882.9323,1145.8662,1703.6349,1700.7924,1033.4955,3360.3787,3441.1545,3109.9065,1632.9729,1872.6511,3103.6812,3389.2026,1354.7258,0.0022504779261283488,-4.471968611426217e-05,0.001473020220055205,-58.281724087775814,-57.557445845356085,1.6937334005041278,0.0,
5.2,1531.6827,1525.2827,1163.839,866.9678,1170.1766,1743.4324,1600.0049,1022.5172,3293.573,3222.8657,3109.0,1659.9695,1881.6588,2990.2966,3483.9114,1299.2616,-0.0005975600048417565,0.0009073898039333688,-0.0016485762186227882,-58.20194732315835,-57.93882526262112,-0.2701086748473356,0.0,
5.300000000000001,1544.0137,1535.1165,1138.7711,895.0441,1182.8525,1730.2097,1683.0261,1038.8352,3385.2456,3074.4861,3020.8740000000003,1634.2609,1848.496,2800.9856,3265.8276,1306.1798,0.00031787300863875967,-0.0012645496710766333,0.0005405460599495433,-58.05176461902721,-57.61146758032555,1.9969333112743453,0.0,
5.4,1572.9242,1561.5367,1154.0767,900.4732,1139.2662,1746.7433,1674.3695,1027.9976,3313.8953,3150.887,3021.5415,1612.4484,1865.7017,2843.3364,3272.4744,1341.3668,0.0009057424328249001,0.00030805420686678335,-7.703638385999986e-07,-58.185965892664086,-57.53943860036625,0.07378293239334281,0.0,
